,title,runtime,genres,rating,director,producer,cinematographer,writer,budget,domestic,foreign,worldwide,ROI,year,genre_list,Crime,Romance,Mystery,Horror,Action,Western,Sci-Fi,History,Adventure,Thriller,Drama,Fantasy,Biography,Sport,Music,War,Animation,Family,Documentary,Musical,Comedy
183,Love the Coopers,107.0,"Comedy,Fantasy,Romance",5.8,Jessie Nelson,Michael London,Elliot Davis,Steven Rogers,18000000,26302731,15924759,42227490,134.59716666666665,2015,"['Comedy', 'Fantasy', 'Romance']",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
184,The Canyons,99.0,"Drama,Thriller",3.8,Paul Schrader,Braxton Pope,John DeFazio,Bret Easton Ellis,250000,59671,2704,62375,-75.05,2013,"['Drama', 'Thriller']",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
185,Falcon Rising,103.0,"Action,Adventure",5.8,Ernie Barbarash,Ernst Etchie Stroh,Yaron Levy,Y.T. Parazi,4500000,11774,0,11774,-99.73835555555556,2014,"['Action', 'Adventure']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
186,23 Blast,98.0,"Drama,Family,Sport",6.5,Dylan Baker,Gary Donatelli,Jay Silver,Toni Hoover,1000000,549185,0,549185,-45.081500000000005,2014,"['Drama', 'Family', 'Sport']",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
187,Mandela: Long Walk to Freedom,141.0,"Biography,Drama,History",7.1,Justin Chadwick,Anant Singh,Lol Crawley,William Nicholson,35000000,8323085,21567317,29890402,-14.59885142857143,2013,"['Biography', 'Drama', 'History']",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
188,Wild,115.0,"Adventure,Biography,Drama",7.1,Jean-Marc Vallée,Bill Pohlad,Yves Bélanger,Nick Hornby,15000000,37880356,14580187,52460543,249.73695333333333,2014,"['Adventure', 'Biography', 'Drama']",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
189,The Rover,103.0,"Action,Crime,Drama",6.4,David Michôd,Liz Watts,Natasha Braier,Joel Edgerton,8500000,1109199,2071053,3180252,-62.585270588235296,2014,"['Action', 'Crime', 'Drama']",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
190,Jobs,128.0,"Biography,Drama",5.9,Joshua Michael Stern,Mark Hulme,Russell Carpenter,Matt Whiteley,18000000,16131410,27271105,43402515,141.12508333333332,2013,"['Biography', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
191,La grande bellezza,141.0,Drama,7.8,Paolo Sorrentino,Francesca Cima,Luca Bigazzi,Umberto Contarello,12000000,2883879,26665266,29549145,146.242875,2013,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
192,Robin Hood,92.0,"Action,Drama",6.3,Martin Schreier,Simon J. Buchner,Markus Nestroy,Florian Schumacher,210000000,105487148,216971858,322459006,53.551907619047626,2010,"['Action', 'Drama']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
193,Dry Spell,90.0,"Comedy,Romance",3.3,Travis Legge,Richard Lackey,Drew Pientka,Kyle Hoskins,22000,0,0,0,-100.0,2014,"['Comedy', 'Romance']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
194,Treachery,67.0,"Drama,Thriller",3.7,Travis Romero,Ryan Azevedo,Eric Curtis,Lorraine Ziff,625000,0,0,0,-100.0,2013,"['Drama', 'Thriller']",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
195,How to Train Your Dragon: The Hidden World,104.0,"Action,Adventure,Animation",7.6,Dean DeBlois,Bonnie Arnold,Gil Zimmerman,Cressida Cowell,129000000,160791800,358466483,519258283,302.52580077519383,2019,"['Action', 'Adventure', 'Animation']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
196,Delivery Man,105.0,"Comedy,Drama",6.4,Ken Scott,André Rouleau,Eric Alan Edwards,Martin Petit,22000000,30659817,39877053,70536870,220.62213636363634,2013,"['Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
197,Love in the Time of Monsters,97.0,"Comedy,Horror",5.5,Matt Jackson,Andy Gunn,Jorge L. Urbina,Michael Skvarla,500000,0,0,0,-100.0,2015,"['Comedy', 'Horror']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
198,Gods of Egypt,127.0,"Action,Adventure,Fantasy",5.4,Alex Proyas,Basil Iwanyk,Peter Menzies Jr.,Matt Sazama,140000000,31153464,107683292,138836756,-0.8308885714285714,2016,"['Action', 'Adventure', 'Fantasy']",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
199,The Heat,117.0,"Action,Comedy,Crime",6.6,Paul Feig,Peter Chernin,Robert D. Yeoman,Katie Dippold,43000000,159581587,70146187,229727774,434.25063720930234,2013,"['Action', 'Comedy', 'Crime']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,Abduction,84.0,"Horror,Thriller",5.2,Michael Atwill,Joe Gomes,Billy Chang,Shane Rodgers,35000000,28087155,58561204,86648359,147.56674,2011,"['Horror', 'Thriller']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
201,And So It Goes,94.0,"Comedy,Drama,Romance",5.8,Rob Reiner,Alan Greisman,Reed Morano,Mark Andrus,18000000,15160801,2759212,17920013,-0.4443722222222222,2014,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
202,Paranormal Activity: The Marked Ones,84.0,"Horror,Mystery,Thriller",5.0,Christopher Landon,Jason Blum,Gonzalo Amat,Oren Peli,5000000,32462372,58442482,90904854,1718.09708,2014,"['Horror', 'Mystery', 'Thriller']",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
203,The Last Five Years,94.0,"Comedy,Drama,Musical",5.9,Richard LaGravenese,Lauren Versel,Steven Meizler,Jason Robert Brown,2000000,147299,57999,205298,-89.7351,2015,"['Comedy', 'Drama', 'Musical']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
204,Nerve,86.0,"Drama,Mystery,Thriller",4.6,Sebastien Guy,Neal Kingston,James L. Brown,Sarah Smith,20000000,38583626,32068658,70652284,253.26142,2016,"['Drama', 'Mystery', 'Thriller']",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
205,Broken Horses,101.0,"Action,Crime,Drama",5.7,Vidhu Vinod Chopra,Subhash Dhar,Tom Stern,Abhijat Joshi,15000000,0,3471,3471,-99.97686,2015,"['Action', 'Crime', 'Drama']",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
206,Escobar: Paradise Lost,120.0,"Crime,Drama,History",6.5,Andrea Di Stefano,Dimitri Rassam,Luis David Sansans,Francesca Marciano,17000000,195792,3721887,3917679,-76.9548294117647,2015,"['Crime', 'Drama', 'History']",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
207,The Interview,80.0,"Horror,Mystery,Thriller",5.0,Carlos Nunez,Dustin Fairbanks,Denis Dufresne,Mike Muldoon,44000000,6105175,6237457,12342632,-71.94856363636364,2014,"['Horror', 'Mystery', 'Thriller']",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
208,The Light Between Oceans,133.0,"Drama,Romance",7.2,Derek Cianfrance,Jeffrey Clifford,Adam Arkapaw,M.L. Stedman,20000000,12545979,9735753,22281732,11.40866,2016,"['Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
209,The Queen,104.0,"Action,Drama,War",6.7,Mohammad Ali Bashe Ahangar,Abolghasem Hoseini,Ali Reza Zarrindast,Mohammad Reza Gohari,15000000,56441711,72444162,128885873,759.2391533333333,2006,"['Action', 'Drama', 'War']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
210,The Second Best Exotic Marigold Hotel,122.0,"Comedy,Drama",6.6,John Madden,Graham Broadbent,Ben Smithard,Ol Parker,10000000,33078266,57306040,90384306,803.84306,2015,"['Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
211,Going in Style,96.0,"Comedy,Crime",6.6,Zach Braff,Donald De Line,Rodney Charters,Theodore Melfi,24000000,45018541,33654038,78672579,227.8024125,2017,"['Comedy', 'Crime']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
212,Girlhouse,99.0,"Horror,Thriller",5.5,Jon Knautz,Cory Neal,Christopher Norr,Nick Gordon,1500000,0,0,0,-100.0,2015,"['Horror', 'Thriller']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
213,Hot Tub Time Machine 2,93.0,"Comedy,Mystery,Sci-Fi",5.1,Steve Pink,Andrew Panay,Declan Quinn,Josh Heald,14000000,12314651,511993,12826644,-8.381114285714286,2015,"['Comedy', 'Mystery', 'Sci-Fi']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
214,Independence Daysaster,90.0,"Action,Adventure,Sci-Fi",3.4,W.D. Hogan,John Prince,Michael C. Blundell,Rudy Thauberger,1800000,0,0,0,-100.0,2013,"['Action', 'Adventure', 'Sci-Fi']",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
215,Miss Julie,129.0,"Drama,Romance",5.5,Liv Ullmann,Synnøve Hørsdal,Mikhail Krichman,August Strindberg,5500000,0,863895,863895,-84.29281818181819,2015,"['Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
216,Me Before You,106.0,"Drama,Romance",7.4,Thea Sharrock,Karen Rosenfelt,Remi Adefarasin,Jojo Moyes,20000000,56245075,152020123,208265198,941.32599,2016,"['Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
217,Above and Beyond,90.0,"Adventure,Documentary,History",7.7,Roberta Grossman,Sarah Forbes Campbell,Harris Done,Sophie Sartain,1300000,288751,0,288751,-77.78838461538462,2015,"['Adventure', 'Documentary', 'History']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
218,Devil's Due,89.0,"Horror,Mystery,Thriller",4.1,Matt Bettinelli-Olpin,John Davis,Justin Martinez,Lindsay Devlin,7000000,15821461,20324626,36146087,416.37267142857144,2014,"['Horror', 'Mystery', 'Thriller']",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219,Thank You for Your Service,109.0,"Biography,Drama,War",6.5,Jason Hall,Jon Kilik,Roman Vasyanov,David Finkel,20000000,9479390,505926,9985316,-50.07342,2017,"['Biography', 'Drama', 'War']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
220,United Passions,110.0,"Drama,History,Sport",2.1,Frédéric Auburtin,Louisa Maurin,Inti Briones,Jean-Paul Delfino,30000000,918,167914,168832,-99.43722666666666,2015,"['Drama', 'History', 'Sport']",0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
221,The Dressmaker,119.0,"Comedy,Drama",7.1,Jocelyn Moorhouse,Sue Maslin,Donald McAlpine,P.J. Hogan,11900000,2022115,22019502,24041617,102.03039495798319,2016,"['Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
222,The Hatching,90.0,"Action,Adventure,Comedy",4.0,Michael Anderson,Chantelle De Carvalho,Gerry Vasbenter,Nick Squire,5000000,0,0,0,-100.0,2016,"['Action', 'Adventure', 'Comedy']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
223,The Rise of the Krays,110.0,"Crime,Drama",5.0,Zackary Adler,Craig Tuohy,Luke Palmer,Ken Brown,2500000,0,0,0,-100.0,2016,"['Crime', 'Drama']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
224,The Face of an Angel,101.0,"Crime,Drama",4.6,Michael Winterbottom,Melissa Parmenter,Hubert Taczanowski,Paul Viragh,26000000,0,0,0,-100.0,2015,"['Crime', 'Drama']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
225,The Jungle Book,106.0,"Adventure,Drama,Family",7.4,Jon Favreau,Brigham Taylor,Bill Pope,Rudyard Kipling,175000000,364001123,598853424,962854547,450.2025982857143,2016,"['Adventure', 'Drama', 'Family']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
226,Inferno,121.0,"Action,Adventure,Crime",6.2,Ron Howard,Brian Grazer,Salvatore Totino,David Koepp,75000000,34343574,185175793,219519367,192.69248933333333,2016,"['Action', 'Adventure', 'Crime']",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
227,Suffragette,106.0,"Biography,Drama,History",6.9,Sarah Gavron,Alison Owen,Eduard Grau,Abi Morgan,14000000,4702420,29342489,34044909,143.1779214285714,2015,"['Biography', 'Drama', 'History']",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
228,Eden,131.0,"Biography,Drama,Music",6.4,Mia Hansen-Løve,Charles Gillibert,Denis Lenoir,Sven Hansen-Løve,2300000,0,0,0,-100.0,2016,"['Biography', 'Drama', 'Music']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
229,The Masked Saint,105.0,"Action,Biography,Crime",4.6,Warren P. Sonoda,Cliff McDowell,James Griffith,Scott Crowell,3500000,182695,0,182695,-94.78014285714286,2016,"['Action', 'Biography', 'Crime']",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
230,Da Sweet Blood of Jesus,123.0,"Comedy,Romance,Thriller",4.1,Spike Lee,Chiz Schultz,Daniel Patterson,Bill Gunn,1250000,0,0,0,-100.0,2015,"['Comedy', 'Romance', 'Thriller']",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
231,Light from the Darkroom,90.0,"Action,Drama,Thriller",6.1,Lance McDaniel,Nathan Gardocki,Alan Novey,Sean Lynch,600000,0,0,0,-100.0,2014,"['Action', 'Drama', 'Thriller']",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
232,Room,118.0,"Drama,Thriller",8.2,Lenny Abrahamson,Ed Guiney,Danny Cohen,Emma Donoghue,13000000,14677674,21585109,36262783,178.94448461538462,2015,"['Drama', 'Thriller']",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
233,Barbecue,98.0,Comedy,6.1,Eric Lavaine,François Cornuau,François Hernandez,Héctor Cabello Reyes,10000000,388,247177,247565,-97.52435,2014,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
234,Annabelle,99.0,"Horror,Mystery,Thriller",5.4,John R. Leonetti,Peter Safran,James Kniest,Gary Dauberman,6500000,84273813,172589107,256862920,3851.7372307692303,2014,"['Horror', 'Mystery', 'Thriller']",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
235,Max,111.0,"Adventure,Drama,Family",6.8,Boaz Yakin,Karen Rosenfelt,Stefan Czapsky,Sheldon Lettich,20000000,42656255,1001902,43658157,118.29078500000001,2015,"['Adventure', 'Drama', 'Family']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
236,A Monster Calls,108.0,"Animation,Drama,Fantasy",7.5,J.A. Bayona,Belén Atienza,Oscar Faura,Patrick Ness,43000000,3740823,42673707,46414530,7.940767441860465,2017,"['Animation', 'Drama', 'Fantasy']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
237,Unforgettable,100.0,"Drama,Thriller",5.1,Denise Di Novi,Ravi D. Mehta,Caleb Deschanel,Christina Hodson,12000000,11368012,4853199,16221211,35.17675833333334,2017,"['Drama', 'Thriller']",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
238,The Lobster,119.0,"Comedy,Drama,Romance",7.1,Yorgos Lanthimos,Ed Guiney,Thimios Bakatakis,Efthymis Filippou,4500000,9196278,8823556,18019834,300.44075555555554,2016,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
239,Pound of Flesh,104.0,"Action,Thriller",5.2,Ernie Barbarash,Henry Luk,Cliff Hokanson,Joshua Todd James,7500000,0,0,0,-100.0,2015,"['Action', 'Thriller']",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
240,Close Range,80.0,"Action,Crime",5.0,Isaac Florentine,Ehud Bleiberg,Tal Lazar,Chad Law,3000000,0,0,0,-100.0,2015,"['Action', 'Crime']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,The Veil,93.0,Horror,4.8,Phil Joanou,Jason Blum,Steeven Petitteville,Robert Ben Garant,4000000,0,0,0,-100.0,2015,['Horror'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,UnDivided,66.0,Documentary,8.4,Sam Martin,Jeff Martin,Jim Standridge,Dan Merchant,250000,0,0,0,-100.0,2015,['Documentary'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
243,Ricki and the Flash,101.0,"Comedy,Drama,Music",5.9,Jonathan Demme,Marc Platt,Declan Quinn,Diablo Cody,18000000,26839498,14326535,41166033,128.70018333333334,2015,"['Comedy', 'Drama', 'Music']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
244,Mutant World,82.0,Sci-Fi,2.8,David Winning,Michael Frislev,Neil Cervin,Matthew Campagna,1500000,0,0,0,-100.0,2015,['Sci-Fi'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Allied,124.0,"Action,Drama,Romance",7.1,Robert Zemeckis,Graham King,Don Burgess,Steven Knight,106000000,40098064,79168597,119266661,12.515717924528303,2016,"['Action', 'Drama', 'Romance']",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
246,Misconduct,106.0,"Crime,Drama,Mystery",5.3,Shintaro Shimosawa,Ellen S. Wander,Michael Fimognari,Adam Mason,11000000,0,2352511,2352511,-78.61353636363636,2016,"['Crime', 'Drama', 'Mystery']",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
247,Unfriended,83.0,"Horror,Mystery,Thriller",5.6,Levan Gabriadze,Timur Bekmambetov,Adam Sidman,Nelson Greaves,1000000,32789645,31574553,64364198,6336.419800000001,2015,"['Horror', 'Mystery', 'Thriller']",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
248,My All-American,118.0,"Biography,Drama,Sport",7.2,Angelo Pizzo,Paul Schiff,Frank G. DeMarco,Jim Dent,20000000,2246000,0,2246000,-88.77000000000001,2015,"['Biography', 'Drama', 'Sport']",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
249,The Lady in the Van,104.0,"Biography,Comedy,Drama",6.7,Nicholas Hytner,Damian Jones,Andrew Dunn,Alan Bennett,6000000,10021175,32299328,42320503,605.3417166666667,2016,"['Biography', 'Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
250,The Losers,112.0,Drama,1.7,Yi-an Lou,Eric Yeh,Chi-Hsuan Han,Yun-chu Tang,25000000,23591432,6272408,29863840,19.45536,2010,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
251,Zoom,96.0,"Animation,Comedy,Drama",6.1,Pedro Morelli,Andrea Barata Ribeiro,Adrian Teijido,Matt Hansen,35000000,11989328,516860,12506188,-64.26803428571428,2006,"['Animation', 'Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
252,The Nice Guys,116.0,"Action,Comedy,Crime",7.4,Shane Black,Joel Silver,Philippe Rousselot,Anthony Bagarozzi,50000000,36261763,23334984,59596747,19.193494,2016,"['Action', 'Comedy', 'Crime']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
253,Saul fia,107.0,"Drama,War",7.5,László Nemes,Gábor Rajna,Mátyás Erdély,Clara Royer,1700000,1777043,7919494,9696537,470.3845294117647,2015,"['Drama', 'War']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
254,The Bronze,100.0,"Comedy,Drama,Sport",6.0,Bryan Buckley,Stephanie Langhoff,Scott Henriksen,Winston Rauch,3500000,615816,0,615816,-82.40525714285715,2016,"['Comedy', 'Drama', 'Sport']",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
255,Shutter,123.0,"Drama,Family,Thriller",7.2,V.K. Prakash,M.P. Sanjeev,Manoj Kumar Khatoi,Manisha Korde,8000000,25928550,21853876,47782426,497.280325,2008,"['Drama', 'Family', 'Thriller']",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
256,Mustang,97.0,Drama,7.6,Deniz Gamze Ergüven,Charles Gillibert,David Chizallet,Alice Winocour,1400000,845464,4707120,5552584,296.61314285714286,2015,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
257,Stories of Our Lives,60.0,Drama,7.5,Jim Chuchu,Wangechi Ngugi,Dan Muchina,Njoki Ngumi,15000,0,0,0,-100.0,2014,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
258,Hercules,112.0,Comedy,6.2,Abhijit Guha,Shyamsundar Dey,Supriyo Dutta,Padmanabha Dasgupta,100000000,72688614,170700000,243388614,143.388614,2014,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
259,Home,103.0,Drama,7.2,Fien Troch,Antonino Lombardo,Frank van den Eeden,Nico Leunen,130000000,177397510,208600386,385997896,196.92145846153846,2015,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
260,The Shallows,86.0,"Drama,Horror,Thriller",6.3,Jaume Collet-Serra,Lynn Harris,Flavio Martínez Labiano,Anthony Jaswinski,13000000,55121623,63641819,118763442,813.5649384615384,2016,"['Drama', 'Horror', 'Thriller']",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
261,Rodeo Girl,108.0,"Adventure,Family",5.8,Joel Paul Reisig,Lucas Miles,Dennis Thomas,Tricia Hopper,500000,0,0,0,-100.0,2015,"['Adventure', 'Family']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
262,Renegades,106.0,"Action,Adventure,Crime",5.4,Steven Quale,Raphaël Benoliel,Brian Pearson,Luc Besson,77500000,0,1521672,1521672,-98.03655225806452,2019,"['Action', 'Adventure', 'Crime']",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
263,Florence Foster Jenkins,111.0,"Biography,Comedy,Drama",6.8,Stephen Frears,Tracey Seaward,Danny Cohen,Nicholas Martin,29000000,27383770,28616569,56000339,93.1046172413793,2016,"['Biography', 'Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
264,Free Fire,91.0,"Action,Comedy,Crime",6.4,Ben Wheatley,Andrew Starke,Laurie Rose,Amy Jump,10000000,1799322,1994417,3793739,-62.06260999999999,2017,"['Action', 'Comedy', 'Crime']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
265,Meet the Blacks,94.0,"Comedy,Horror",5.9,Deon Taylor,Shannon McIntosh,John T. Connor,Nicole DeMasi,900000,9097072,0,9097072,910.7857777777778,2016,"['Comedy', 'Horror']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
266,The Wall,88.0,"Action,Drama,Thriller",6.2,Doug Liman,David Bartis,Roman Vasyanov,Dwain Worrell,3000000,1803064,2692198,4495262,49.84206666666667,2017,"['Action', 'Drama', 'Thriller']",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
267,Alpha,96.0,"Adventure,Drama,Family",6.7,Albert Hughes,Andrew Rona,Martin Gschlacht,Daniele Sebastian Wiedenhaupt,51000000,35851379,63773494,99624873,95.34288823529413,2018,"['Adventure', 'Drama', 'Family']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
268,The Circle,110.0,"Drama,Sci-Fi,Thriller",5.3,James Ponsoldt,Anthony Bregman,Matthew Libatique,Dave Eggers,18000000,20497844,20154020,40651864,125.84368888888888,2017,"['Drama', 'Sci-Fi', 'Thriller']",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
269,They Will Have to Kill Us First,100.0,Documentary,7.3,Johanna Schwartz,Kat Amara Korba,Karelle Walker,Andy Morgan,600000,0,7943,7943,-98.67616666666666,2016,['Documentary'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
270,Two Lovers and a Bear,96.0,"Adventure,Drama,Romance",6.1,Kim Nguyen,Roger Frappier,Nicolas Bolduc,Louis Grenier,6840000,0,22273,22273,-99.67437134502924,2017,"['Adventure', 'Drama', 'Romance']",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
271,Gifted,101.0,Drama,7.6,Marc Webb,Karen Lunder,Stuart Dryburgh,Tom Flynn,7000000,24801212,12163444,36964656,428.0665142857143,2017,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
272,The Prodigy,92.0,"Horror,Thriller",5.9,Nicholas McCarthy,Tripp Vinson,Bridger Nielson,Jeff Buhler,6000000,14856291,4933421,19789712,229.82853333333333,2019,"['Horror', 'Thriller']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
273,Nocturnal Animals,116.0,"Drama,Thriller",7.5,Tom Ford,Robert Salerno,Seamus McGarvey,Austin Wright,22500000,10663357,21735324,32398681,43.99413777777777,2016,"['Drama', 'Thriller']",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
274,Mile 22,94.0,"Action,Adventure,Thriller",6.1,Peter Berg,Stephen Levinson,Jacques Jouffret,Lea Carpenter,35000000,36108758,30186363,66295121,89.41463142857144,2018,"['Action', 'Adventure', 'Thriller']",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
275,Sleight,89.0,"Action,Drama,Sci-Fi",5.9,J.D. Dillard,Eric B. Fleischman,Ed Wu,Alex Theurer,250000,3930990,3460,3934450,1473.78,2017,"['Action', 'Drama', 'Sci-Fi']",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
276,All Saints,108.0,Drama,6.0,Steve Gomer,Marc Bienstock,Eduardo Enrique Mayén,Steve Armour,2000000,5802208,139786,5941994,197.0997,2017,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
