,title,runtime,genres,rating,director,producer,cinematographer,writer,budget,domestic,foreign,worldwide,ROI,year,genre_list,Crime,Romance,Mystery,Horror,Action,Western,Sci-Fi,History,Adventure,Thriller,Drama,Fantasy,Biography,Sport,Music,War,Animation,Family,Documentary,Musical,Comedy
78,Everything Must Go,97.0,"Comedy,Drama",6.4,Dan Rush,Wyck Godfrey,Michael Barrett,Raymond Carver,5000000,2712131,108879,2821010,-43.5798,2011,"['Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
79,Beautiful Boy,100.0,Drama,6.6,Shawn Ku,Lee Clay,Michael Fimognari,Michael Armbruster,25000000,7634767,5396657,13031424,-47.874304,2018,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,Hope Springs,100.0,"Comedy,Drama,Romance",6.3,David Frankel,Guymon Casady,Florian Ballhaus,Vanessa Taylor,30000000,63536011,69549284,133085295,343.61765,2012,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
81,The Grace Card,101.0,Drama,6.6,David G. Evans,John Nasraway,John Paul Clark,Howard Klausner,200000,2430735,0,2430735,1115.3675,2011,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,Premium Rush,91.0,"Action,Crime,Thriller",6.5,David Koepp,Gavin Polone,Mitchell Amundsen,John Kamps,35000000,20275446,11117755,31393201,-10.30514,2012,"['Action', 'Crime', 'Thriller']",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,The Last Stand,107.0,"Action,Thriller",6.4,Jee-woon Kim,Lorenzo di Bonaventura,Ji-yong Kim,Andrew Knauer,30000000,12050299,36280458,48330757,61.10252333333334,2013,"['Action', 'Thriller']",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,The Devil Inside,83.0,Horror,4.2,William Brent Bell,Morris Paulson,Gonzalo Amat,Matthew Peterman,1000000,53262945,48496545,101759490,10075.949,2012,['Horror'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,One Day,107.0,"Drama,Romance",7.0,Lone Scherfig,Nina Jacobson,Benoît Delhomme,David Nicholls,15000000,13843771,45324921,59168692,294.45794666666666,2011,"['Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,Overboard,112.0,"Comedy,Romance",5.9,Rob Greenberg,Ben Odell,Michael Barrett,Bob Fisher,12000000,50316123,35053707,85369830,611.41525,2018,"['Comedy', 'Romance']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,For Greater Glory: The True Story of Cristiada,145.0,"Drama,History,War",6.6,Dean Wright,Pablo Jose Barroso,Eduardo Martínez Solares,Michael Love,12000000,5669081,4357174,10026255,-16.447875,2012,"['Drama', 'History', 'War']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
